0540	026	-	-	1	t_1	οὐ	d	-	-	d--------	_	οὐ
0540	026	-	-	2	t_2	δʼ	d	-	-	d--------	_	δέ
0540	026	-	-	3	t_3	ἡγούμενος	v	-	-	v-sppemn-	Case=n|Gender=m|Mood=p|Number=s|Tense=p|Voice=e	ἡγέομαι
0540	026	-	-	4	t_4	ἀκριβῆ	a	-	-	a-s---fa-	Case=a|Gender=f|Number=s	ἀκριβής
0540	026	-	-	5	t_5	νῦν	d	-	-	d--------	_	νῦν
0540	026	-	-	6	t_6	τὴν	l	-	-	l-s---fa-	Case=a|Gender=f|Number=s	ὁ
0540	026	-	-	7	t_7	δοκιμασίαν	n	-	-	n-s---fa-	Case=a|Gender=f|Number=s	δοκιμασία
0540	026	-	-	8	t_8	αὐτοὺς	p	-	-	p-p---ma-	Case=a|Gender=m|Number=p	αὐτός
0540	026	-	-	9	t_9	διὰ	r	-	-	r--------	_	διά
0540	026	-	-	10	t_10	τὸν	l	-	-	l-s---ma-	Case=a|Gender=m|Number=s	ὁ
0540	026	-	-	11	t_11	χρόνον	n	-	-	n-s---ma-	Case=a|Gender=m|Number=s	χρόνος
0540	026	-	-	12	t_12	ποιήσεσθαι	v	-	-	v--fnm---	Mood=n|Tense=f|Voice=m	ποιέω
0540	026	-	-	13	t_13	,	u	-	-	u--------	_	,
0540	026	-	-	14	t_14	ἐπεὶ	c	-	-	c--------	_	ἐπεί
0540	026	-	-	15	t_15	σύνοισθα	v	-	-	v2sria---	Mood=i|Number=s|Person=2|Tense=r|Voice=a	σύνοιδα
0540	026	-	-	16	t_16	πολλὰ	a	-	-	a-p---na-	Case=a|Gender=n|Number=p	πολύς
0540	026	-	-	17	t_17	καὶ	c	-	-	c--------	_	καί
0540	026	-	-	18	t_18	δεινὰ	a	-	-	a-p---na-	Case=a|Gender=n|Number=p	δεινός
0540	026	-	-	19	t_19	εἰς	r	-	-	r--------	_	εἰς
0540	026	-	-	20	t_20	αὐτοὺς	p	-	-	p-p---ma-	Case=a|Gender=m|Number=p	αὐτός
0540	026	-	-	21	t_21	ἐξημαρτηκώς	v	-	-	v-srpamn-	Case=n|Gender=m|Mood=p|Number=s|Tense=r|Voice=a	ἐξαμαρτάνω
0540	026	-	-	22	t_22	,	u	-	-	u--------	_	,
0540	026	-	-	23	t_23	ὧν	p	-	-	p-p---ng-	Case=g|Gender=n|Number=p	ὅς
0540	026	-	-	24	t_24	ἐπιλελῆσθαι	v	-	-	v--rne---	Mood=n|Tense=r|Voice=e	ἐπιλανθάνομαι
0540	026	-	-	25	t_25	καὶ	c	-	-	c--------	_	καί
0540	026	-	-	26	t_26	οὐ	d	-	-	d--------	_	οὐ
0540	026	-	-	27	t_27	δʼ	c	-	-	c--------	_	δέ
0540	026	-	-	28	t_28	ἀναμνησθήσεσθαι	v	-	-	v--fnp---	Mood=n|Tense=f|Voice=p	ἀναμιμνῄσκω
0540	026	-	-	29	t_29	ἐνίους	a	-	-	a-p---ma-	Case=a|Gender=m|Number=p	ἔνιοι
0540	026	-	-	30	t_30	αὐτῶν	p	-	-	p-p---mg-	Case=g|Gender=m|Number=p	αὐτός
0540	026	-	-	31	t_31	νομίζεις	v	-	-	v2spia---	Mood=i|Number=s|Person=2|Tense=p|Voice=a	νομίζω
0540	026	-	-	32	t_32	.	u	-	-	u--------	_	.
0540	026	-	-	1	t_33	ὃ	p	-	-	p-s---na-	Case=a|Gender=n|Number=s	ὅς
0540	026	-	-	2	t_34	δὴ	d	-	-	d--------	_	δή
0540	026	-	-	3	t_35	ἔγωγε	p	-	-	p1s---mn-	Case=n|Gender=m|Number=s|Person=1	ἐγώ
0540	026	-	-	4	t_36	καὶ	d	-	-	d--------	_	καί
0540	026	-	-	5	t_37	ἀγανακτῶ	v	-	-	v1spia---	Mood=i|Number=s|Person=1|Tense=p|Voice=a	ἀγανακτέω
0540	026	-	-	6	t_38	,	u	-	-	u--------	_	,
0540	026	-	-	7	t_39	εἰ	c	-	-	c--------	_	εἰ
