section_id	text
1.1.1	Θουκυδίδης Ἀθηναῖος ξυνέγραψε τὸν πόλεμον τῶν Πελοποννησίων καὶ Ἀθηναίων, ὡς ἐπολέμησαν πρὸς ἀλλήλους, ἀρξάμενος εὐθὺς καθισταμένου καὶ ἐλπίσας μέγαν τε ἔσεσθαι καὶ ἀξιολογώτατον τῶν προγεγενημένων, τεκμαιρόμενος ὅτι ἀκμάζοντές τε ᾖσαν ἐς αὐτὸν ἀμφότεροι παρασκευῇ τῇ πάσῃ καὶ τὸ ἄλλο Ἑλληνικὸν ὁρῶν ξυνιστάμενον πρὸς ἑκατέρους, τὸ μὲν εὐθύς, τὸ δὲ καὶ διανοούμενον.
1.1.2	κίνησις γὰρ αὕτη μεγίστη δὴ τοῖς Ἕλλησιν ἐγένετο καὶ μέρει τινὶ τῶν βαρβάρων, ὡς δὲ εἰπεῖν καὶ ἐπὶ πλεῖστον ἀνθρώπων.
1.1.3	τὰ γὰρ πρὸ αὐτῶν καὶ τὰ ἔτι παλαίτερα σαφῶς μὲν εὑρεῖν διὰ χρόνου πλῆθος ἀδύνατα ἦν, ἐκ δὲ τεκμηρίων ὧν ἐπὶ μακρότατον σκοποῦντί μοι πιστεῦσαι ξυμβαίνει οὐ μεγάλα νομίζω γενέσθαι οὔτε κατὰ τοὺς πολέμους οὔτε ἐς τὰ ἄλλα.
1.2.1	φαίνεται γὰρ ἡ νῦν Ἑλλὰς καλουμένη οὐ πάλαι βεβαίως οἰκουμένη, ἀλλὰ μεταναστάσεις τε οὖσαι τὰ πρότερα καὶ ῥᾳδίως ἕκαστοι τὴν ἑαυτῶν ἀπολείποντες βιαζόμενοι ὑπό τινων αἰεὶ πλειόνων.
1.2.2	τῆς γὰρ ἐμπορίας οὐκ οὔσης, οὐδ’ ἐπιμειγνύντες ἀδεῶς ἀλλήλοις οὔτε κατὰ γῆν οὔτε διὰ θαλάσσης, νεμόμενοί τε τὰ αὑτῶν ἕκαστοι ὅσον ἀποζῆν καὶ περιουσίαν χρημάτων οὐκ ἔχοντες οὐδὲ γῆν φυτεύοντες, ἄδηλον ὂν ὁπότε τις ἐπελθὼν καὶ ἀτειχίστων ἅμα ὄντων ἄλλος ἀφαιρήσεται, τῆς τε καθ’ ἡμέραν ἀναγκαίου τροφῆς πανταχοῦ ἂν ἡγούμενοι ἐπικρατεῖν, οὐ χαλεπῶς ἀπανίσταντο, καὶ δι’ αὐτὸ οὔτε μεγέθει πόλεων ἴσχυον οὔτε τῇ ἄλλῃ παρασκευῇ.
1.2.3	μάλιστα δὲ τῆς γῆς ἡ ἀρίστη αἰεὶ τὰς μεταβολὰς τῶν οἰκητόρων εἶχεν, ἥ τε νῦν Θεσσαλία καλουμένη καὶ Βοιωτία Πελοποννήσου τε τὰ πολλὰ πλὴν Ἀρκαδίας, τῆς τε ἄλλης ὅσα ἦν κράτιστα.
1.2.4	διὰ γὰρ ἀρετὴν γῆς αἵ τε δυνάμεις τισὶ μείζους ἐγγιγνόμεναι στάσεις ἐνεποίουν ἐξ ὧν ἐφθείροντο, καὶ ἅμα ὑπὸ ἀλλοφύλων μᾶλλον ἐπεβουλεύοντο.
1.2.5	τὴν γοῦν Ἀττικὴν ἐκ τοῦ ἐπὶ πλεῖστον διὰ τὸ λεπτόγεων ἀστασίαστον οὖσαν ἄνθρωποι ᾤκουν οἱ αὐτοὶ αἰεί.
1.2.6	καὶ παράδειγμα τόδε τοῦ λόγου οὐκ ἐλάχιστόν ἐστι διὰ τὰς μετοικίας ἐς τὰ ἄλλα μὴ ὁμοίως αὐξηθῆναι· ἐκ γὰρ τῆς ἄλλης Ἑλλάδος οἱ πολέμῳ ἢ στάσει ἐκπίπτοντες παρ’ Ἀθηναίους οἱ δυνατώτατοι ὡς βέβαιον ὂν ἀνεχώρουν, καὶ πολῖται γιγνόμενοι εὐθὺς ἀπὸ παλαιοῦ μείζω ἔτι ἐποίησαν πλήθει ἀνθρώπων τὴν πόλιν, ὥστε καὶ ἐς Ἰωνίαν ὕστερον ὡς οὐχ ἱκανῆς οὔσης τῆς Ἀττικῆς ἀποικίας ἐξέπεμψαν.
1.3.1	δηλοῖ δέ μοι καὶ τόδε τῶν παλαιῶν ἀσθένειαν οὐχ ἥκιστα· πρὸ γὰρ τῶν Τρωικῶν οὐδὲν φαίνεται πρότερον κοινῇ ἐργασαμένη ἡ Ἑλλάς·
1.3.2	δοκεῖ δέ μοι, οὐδὲ τοὔνομα τοῦτο ξύμπασά πω εἶχεν, ἀλλὰ τὰ μὲν πρὸ Ἕλληνος τοῦ Δευκαλίωνος καὶ πάνυ οὐδὲ εἶναι ἡ ἐπίκλησις αὕτη, κατὰ ἔθνη δὲ ἄλλα τε καὶ τὸ Πελασγικὸν ἐπὶ πλεῖστον ἀφ’ ἑαυτῶν τὴν ἐπωνυμίαν παρέχεσθαι, Ἕλληνος δὲ καὶ τῶν παίδων αὐτοῦ ἐν τῇ Φθιώτιδι ἰσχυσάντων, καὶ ἐπαγομένων αὐτοὺς ἐπ’ ὠφελίᾳ ἐς τὰς ἄλλας πόλεις, καθ’ ἑκάστους μὲν ἤδη τῇ ὁμιλίᾳ μᾶλλον καλεῖσθαι Ἕλληνας, οὐ μέντοι πολλοῦ γε χρόνου ἐδύνατο καὶ ἅπασιν ἐκνικῆσαι.
1.3.3	τεκμηριοῖ δὲ μάλιστα Ὅμηρος· πολλῷ γὰρ ὕστερον ἔτι καὶ τῶν Τρωικῶν γενόμενος οὐδαμοῦ τοὺς ξύμπαντας ὠνόμασεν, οὐδ’ ἄλλους ἢ τοὺς μετ’ Ἀχιλλέως ἐκ τῆς Φθιώτιδος, οἵπερ καὶ πρῶτοι Ἕλληνες ἦσαν, Δαναοὺς δὲ ἐν τοῖς ἔπεσι καὶ Ἀργείους καὶ Ἀχαιοὺς ἀνακαλεῖ. οὐ μὴν οὐδὲ βαρβάρους εἴρηκε διὰ τὸ μηδὲ Ἕλληνάς πω, ὡς ἐμοὶ δοκεῖ, ἀντίπαλον ἐς ἓν ὄνομα ἀποκεκρίσθαι.
1.3.4	οἱ δ’ οὖν ὡς ἕκαστοι Ἕλληνες κατὰ πόλεις τε ὅσοι ἀλλήλων ξυνίεσαν καὶ ξύμπαντες ὕστερον κληθέντες οὐδὲν πρὸ τῶν Τρωικῶν δι’ ἀσθένειαν καὶ ἀμειξίαν ἀλλήλων ἁθρόοι ἔπραξαν. ἀλλὰ καὶ ταύτην τὴν στρατείαν θαλάσσῃ ἤδη πλείω χρώμενοι ξυνεξῆλθον.
1.4.1	Μίνως γὰρ παλαίτατος ὧν ἀκοῇ ἴσμεν ναυτικὸν ἐκτήσατο καὶ τῆς νῦν Ἑλληνικῆς θαλάσσης ἐπὶ πλεῖστον ἐκράτησε καὶ τῶν Κυκλάδων νήσων ἦρξέ τε καὶ οἰκιστὴς πρῶτος τῶν πλείστων ἐγένετο, Κᾶρας ἐξελάσας καὶ τοὺς ἑαυτοῦ παῖδας ἡγεμόνας ἐγκαταστήσας· τό τε λῃστικόν, ὡς εἰκός, καθῄρει ἐκ τῆς θαλάσσης ἐφ’ ὅσον ἐδύνατο, τοῦ τὰς προσόδους μᾶλλον ἰέναι αὐτῷ.
1.5.1	οἱ γὰρ Ἕλληνες τὸ πάλαι καὶ τῶν βαρβάρων οἵ τε ἐν τῇ ἠπείρῳ παραθαλάσσιοι καὶ ὅσοι νήσους εἶχον, ἐπειδὴ ἤρξαντο μᾶλλον περαιοῦσθαι ναυσὶν ἐπ’ ἀλλήλους, ἐτράποντο πρὸς λῃστείαν, ἡγουμένων ἀνδρῶν οὐ τῶν ἀδυνατωτάτων κέρδους τοῦ σφετέρου αὐτῶν ἕνεκα καὶ τοῖς ἀσθενέσι τροφῆς, καὶ προσπίπτοντες πόλεσιν ἀτειχίστοις καὶ κατὰ κώμας οἰκουμέναις ἥρπαζον καὶ τὸν πλεῖστον τοῦ βίου ἐντεῦθεν ἐποιοῦντο, οὐκ ἔχοντός πω αἰσχύνην τούτου τοῦ ἔργου, φέροντος δέ τι καὶ δόξης μᾶλλον·
1.5.2	δηλοῦσι δὲ τῶν τε ἠπειρωτῶν τινὲς ἔτι καὶ νῦν, οἷς κόσμος καλῶς τοῦτο δρᾶν, καὶ οἱ παλαιοὶ τῶν ποιητῶν τὰς πύστεις τῶν καταπλεόντων πανταχοῦ ὁμοίως ἐρωτῶντες εἰ λῃσταί εἰσιν, ὡς οὔτε ὧν πυνθάνονται ἀπαξιούντων τὸ ἔργον, οἷς τε ἐπιμελὲς εἴη εἰδέναι οὐκ ὀνειδιζόντων.
1.5.3	ἐλῄζοντο δὲ καὶ κατ’ ἤπειρον ἀλλήλους.καὶ μέχρι τοῦδε πολλὰ τῆς Ἑλλάδος τῷ παλαιῷ τρόπῳ νέμεται περί τε Λοκροὺς τοὺς Ὀζόλας καὶ Αἰτωλοὺς καὶ Ἀκαρνᾶνας καὶ τὴν ταύτῃ ἤπειρον. τό τε σιδηροφορεῖσθαι τούτοις τοῖς ἠπειρώταις ἀπὸ τῆς παλαιᾶς λῃστείας ἐμμεμένηκεν·
1.6.1	πᾶσα γὰρ ἡ Ἑλλὰς ἐσιδηροφόρει διὰ τὰς ἀφάρκτους τε οἰκήσεις καὶ οὐκ ἀσφαλεῖς παρ’ ἀλλήλους ἐφόδους, καὶ ξυνήθη τὴν δίαιταν μεθ’ ὅπλων ἐποιήσαντο ὥσπερ οἱ βάρβαροι.
1.6.2	σημεῖον δ’ ἐστὶ ταῦτα τῆς Ἑλλάδος ἔτι οὕτω νεμόμενα τῶν ποτὲ καὶ ἐς πάντας ὁμοίων διαιτημάτων.
1.6.3	ἐν τοῖς πρῶτοι δὲ Ἀθηναῖοι τόν τε σίδηρον κατέθεντο καὶ ἀνειμένῃ τῇ διαίτῃ ἐς τὸ τρυφερώτερον μετέστησαν. καὶ οἱ πρεσβύτεροι αὐτοῖς τῶν εὐδαιμόνων διὰ τὸ ἁβροδίαιτον οὐ πολὺς χρόνος ἐπειδὴ χιτῶνάς τε λινοῦς ἐπαύσαντο φοροῦντες καὶ χρυσῶν τεττίγων ἐνέρσει κρωβύλον ἀναδούμενοι τῶν ἐν τῇ κεφαλῇ τριχῶν· ἀφ’ οὗ καὶ Ἰώνων τοὺς πρεσβυτέρους κατὰ τὸ ξυγγενὲς ἐπὶ πολὺ αὕτη ἡ σκευὴ κατέσχεν.
1.6.4	μετρίᾳ δ’ αὖ ἐσθῆτι καὶ ἐς τὸν νῦν τρόπον πρῶτοι Λακεδαιμόνιοι ἐχρήσαντο καὶ ἐς τὰ ἄλλα πρὸς τοὺς πολλοὺς οἱ τὰ μείζω κεκτημένοι ἰσοδίαιτοι μάλιστα κατέστησαν.
1.6.5	ἐγυμνώθησάν τε πρῶτοι καὶ ἐς τὸ φανερὸν ἀποδύντες λίπα μετὰ τοῦ γυμνάζεσθαι ἠλείψαντο· τὸ δὲ πάλαι καὶ ἐν τῷ Ὀλυμπικῷ ἀγῶνι διαζώματα ἔχοντες περὶ τὰ αἰδοῖα οἱ ἀθληταὶ ἠγωνίζοντο, καὶ οὐ πολλὰ ἔτη ἐπειδὴ πέπαυται. ἔτι δὲ καὶ ἐν τοῖς βαρβάροις ἔστιν οἷς νῦν, καὶ μάλιστα τοῖς Ἀσιανοῖς, πυγμῆς καὶ πάλης ἆθλα τίθεται, καὶ διεζωμένοι τοῦτο δρῶσιν.
1.6.6	πολλὰ δ’ ἂν καὶ ἄλλα τις ἀποδείξειε τὸ παλαιὸν Ἑλληνικὸν ὁμοιότροπα τῷ νῦν βαρβαρικῷ διαιτώμενον.
1.7.1	τῶν δὲ πόλεων ὅσαι μὲν νεώτατα ᾠκίσθησαν καὶ ἤδη πλωιμωτέρων ὄντων, περιουσίας μᾶλλον ἔχουσαι χρημάτων ἐπ’ αὐτοῖς τοῖς αἰγιαλοῖς τείχεσιν ἐκτίζοντο καὶ τοὺς ἰσθμοὺς ἀπελάμβανον ἐμπορίας τε ἕνεκα καὶ τῆς πρὸς τοὺς προσοίκους ἕκαστοι ἰσχύος· αἱ δὲ παλαιαὶ διὰ τὴν λῃστείαν ἐπὶ πολὺ ἀντίσχουσαν ἀπὸ θαλάσσης μᾶλλον ᾠκίσθησαν, αἵ τε ἐν ταῖς νήσοις καὶ ἐν ταῖς ἠπείροις (ἔφερον γὰρ ἀλλήλους τε καὶ τῶν ἄλλων ὅσοι ὄντες οὐ θαλάσσιοι κάτω ᾤκουν), καὶ μέχρι τοῦδε ἔτι ἀνῳκισμένοι εἰσίν.
1.8.1	καὶ οὐχ ἧσσον λῃσταὶ ἦσαν οἱ νησιῶται, Κᾶρές τε ὄντες καὶ Φοίνικες· οὗτοι γὰρ δὴ τὰς πλείστας τῶν νήσων ᾤκησαν. μαρτύριον δέ· Δήλου γὰρ καθαιρομένης ὑπὸ Ἀθηναίων ἐν τῷδε τῷ πολέμῳ καὶ τῶν θηκῶν ἀναιρεθεισῶν ὅσαι ἦσαν τῶν τεθνεώτων ἐν τῇ νήσῳ, ὑπὲρ ἥμισυ Κᾶρες ἐφάνησαν, γνωσθέντες τῇ τε σκευῇ τῶν ὅπλων ξυντεθαμμένῃ καὶ τῷ τρόπῳ ᾧ νῦν ἔτι θάπτουσιν.
1.8.2	καταστάντος δὲ τοῦ Μίνω ναυτικοῦ πλωιμώτερα ἐγένετο παρ’ ἀλλήλους (οἱ γὰρ ἐκ τῶν νήσων κακοῦργοι ἀνέστησαν ὑπ’ αὐτοῦ, ὅτεπερ καὶ τὰς πολλὰς αὐτῶν κατῴκιζε),
1.8.3	καὶ οἱ παρὰ θάλασσαν ἄνθρωποι μᾶλλον ἤδη τὴν κτῆσιν τῶν χρημάτων ποιούμενοι βεβαιότερον ᾤκουν, καί τινες καὶ τείχη περιεβάλλοντο ὡς πλουσιώτεροι ἑαυτῶν γιγνόμενοι· ἐφιέμενοι γὰρ τῶν κερδῶν οἵ τε ἥσσους ὑπέμενον τὴν τῶν κρεισσόνων δουλείαν, οἵ τε δυνατώτεροι περιουσίας ἔχοντες προσεποιοῦντο ὑπηκόους τὰς ἐλάσσους πόλεις.
1.8.4	καὶ ἐν τούτῳ τῷ τρόπῳ μᾶλλον ἤδη ὄντες ὕστερον χρόνῳ ἐπὶ Τροίαν ἐστράτευσαν.
1.9.1	Ἀγαμέμνων τέ μοι δοκεῖ τῶν τότε δυνάμει προύχων καὶ οὐ τοσοῦτον τοῖς Τυνδάρεω ὅρκοις κατειλημμένους τοὺς Ἑλένης μνηστῆρας ἄγων τὸν στόλον ἀγεῖραι.
1.9.2	λέγουσι δὲ καὶ οἱ τὰ σαφέστατα Πελοποννησίων μνήμῃ παρὰ τῶν πρότερον δεδεγμένοι Πέλοπά τε πρῶτον πλήθει χρημάτων, ἃ ἦλθεν ἐκ τῆς Ἀσίας ἔχων ἐς ἀνθρώπους ἀπόρους, δύναμιν περιποιησάμενον τὴν ἐπωνυμίαν τῆς χώρας ἔπηλυν ὄντα ὅμως σχεῖν, καὶ ὕστερον τοῖς ἐκγόνοις ἔτι μείζω ξυνενεχθῆναι, Εὐρυσθέως μὲν ἐν τῇ Ἀττικῇ ὑπὸ Ἡρακλειδῶν ἀποθανόντος, Ἀτρέως δὲ μητρὸς ἀδελφοῦ ὄντος αὐτῷ, καὶ ἐπιτρέψαντος Εὐρυσθέως, ὅτ’ ἐστράτευε, Μυκήνας τε καὶ τὴν ἀρχὴν κατὰ τὸ οἰκεῖον Ἀτρεῖ (τυγχάνειν δὲ αὐτὸν φεύγοντα τὸν πατέρα διὰ τὸν Χρυσίππου θάνατον), καὶ ὡς οὐκέτι ἀνεχώρησεν Εὐρυσθεύς, βουλομένων καὶ τῶν Μυκηναίων φόβῳ τῶν Ἡρακλειδῶν καὶ ἅμα δυνατὸν δοκοῦντα εἶναι καὶ τὸ πλῆθος τεθεραπευκότα τῶν Μυκηναίων τε καὶ ὅσων Εὐρυσθεὺς ἦρχε τὴν βασιλείαν Ἀτρέα παραλαβεῖν, καὶ τῶν Περσειδῶν τοὺς Πελοπίδας μείζους καταστῆναι.
1.9.3	ἅ μοι δοκεῖ Ἀγαμέμνων παραλαβὼν καὶ ναυτικῷ τε ἅμα ἐπὶ πλέον τῶν ἄλλων ἰσχύσας, τὴν στρατείαν οὐ χάριτι τὸ πλέον ἢ φόβῳ ξυναγαγὼν ποιήσασθαι.
1.9.4	φαίνεται γὰρ ναυσί τε πλείσταις αὐτὸς ἀφικόμενος καὶ Ἀρκάσι προσπαρασχών, ὡς Ὅμηρος τοῦτο δεδήλωκεν, εἴ τῳ ἱκανὸς τεκμηριῶσαι. καὶ ἐν τοῦ σκήπτρου ἅμα τῇ παραδόσει εἴρηκεν αὐτὸν πολλῇσι νήσοισι καὶ Ἄργεϊ παντὶ ἀνάσσειν· οὐκ ἂν οὖν νήσων ἔξω τῶν περιοικίδων (αὗται δὲ οὐκ ἂν πολλαὶ εἶεν) ἠπειρώτης ὢν ἐκράτει, εἰ μή τι καὶ ναυτικὸν εἶχεν. εἰκάζειν δὲ χρὴ καὶ ταύτῃ τῇ στρατείᾳ οἷα ἦν τὰ πρὸ αὐτῆς.
1.10.1	καὶ ὅτι μὲν Μυκῆναι μικρὸν ἦν, ἢ εἴ τι τῶν τότε πόλισμα νῦν μὴ ἀξιόχρεων δοκεῖ εἶναι, οὐκ ἀκριβεῖ ἄν τις σημείῳ χρώμενος ἀπιστοίη μὴ γενέσθαι τὸν στόλον τοσοῦτον ὅσον οἵ τε ποιηταὶ εἰρήκασι καὶ ὁ λόγος κατέχει.
